商品,商品價格,販售商城,商品網址,圖片網址
Apple iPhone 12 智慧型手機 (64GB),"16,700",皇家生活網通,https://royallife.com.tw/product/iphone-12-64g/?p=19519&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/4p5xCShBOsoTrEOJxYaTeiRO20hugMNZGGla_CxvaWQ=/http://cf.shopee.tw/file/ebcf30256d3b10362830104ccb1d6e84
Apple iPhone 12 智慧型手機 (256GB),"23,200",皇家生活網通,https://royallife.com.tw/product/apple-iphone-12-256g/?p=19542&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/vgD9pPQ-OLUh-_UuHKPGKgaibN_zhpXLrDP-FH47fMU=/https://royallife.com.tw/wp-content/uploads/2020/10/4654654.jpg
Apple iPhone 12 pro 智慧型手機 (256GB),"26,800",蝦皮商城,https://shopee.tw/product/323442581/3968511901?utm_source=an_16142330000&utm_medium=affiliates&utm_campaign=-&utm_content=PGqbJVgmbAACRdul6E6PEQw%3D%3D.9S-feebee---,https://img.feebee.com.tw/ip/200/jSbJ8PWd8zMe1GAvj3tr-92qcSEcqqQM6YjJDGLM1L8=/http://cf.shopee.tw/file/4ca8a0ae1dc658b53fe44749041c4bf7
Apple iPhone 12 Pro Max 智慧型手機 (128GB),"28,300",皇家生活網通,https://royallife.com.tw/product/iphone-12-pro-max-128g/?p=19571&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/xDR5TI-8B_nWwxEdGNlvMNm-G4au2zoHtGqX_EZqZu0=/http://cf.shopee.tw/file/21044394471c659129edd7ecc63109ae
Apple iPhone 12 Pro Max 智慧型手機 (256GB),"31,000",皇家生活網通,https://royallife.com.tw/product/apple-iphone-12-pro-max-256g/?p=19585&utm_source=feebee&utm_medium=feebee_cpc,https://img.feebee.com.tw/ip/200/YxRMkPz3hQlIBcpw4L8cc3vBOEOc-o2xt88Buu51UnM=/http://cf.shopee.tw/file/d34ede50c2a52b86cc957fac586c0f75
Apple iPhone 12 Pro 256G,"34,888",ETMall東森購物網,https://www.etmall.com.tw/i/2987382?Store=107378&Cate=107853&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.99_2021052623,https://img.feebee.com.tw/ip/200/vqITc8g8EzoVzspePGUH_sGwkl7wLx88zAy79nncRQc=/https://media.etmall.com.tw/NXimg/002987/2987382/2987382_XL.jpg?t=18047820576
福利品_Apple iPhone 12 mini 64G - 九成新,"18,000",ETMall東森購物網,https://www.etmall.com.tw/i/3043782?Store=107378&Cate=112800&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.91_2021052623,https://img.feebee.com.tw/ip/200/ARleLntqTVDgTH3MuKjn4RwTg9YQN5-oElvU9ebe7QY=/https://media.etmall.com.tw/NXimg/003043/3043782/3043782_XL.jpg?t=18045803823
Apple iPhone 12 Pro Max 128G 5G手機,"37,900",ETMall東森購物網,https://www.etmall.com.tw/i/2834581?Store=107378&Cate=107919&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.9r_2021052623,https://img.feebee.com.tw/ip/200/_O3whYudvDFiRRRXYHHONiYHTy1VT90yXDCdpU9qSFc=/https://media.etmall.com.tw/NXimg/002834/2834581/2834581_XL.jpg?t=17957650401
Apple iPhone 12 128G,"28,500",ETMall東森購物網,https://www.etmall.com.tw/i/2950129?Store=107378&Cate=107921&utm_source=sitetag&utm_medium=sitetag_cpa&utm_campaign=feebee_PGqbJVgmbAACRdul6E6PEQw%3D%3D.9f_2021052623,https://img.feebee.com.tw/ip/200/wmOjLmJs0U4GHU0DJiBwKU47k2o5O5JqvPy0GheSOv4=/https://media.etmall.com.tw/NXimg/002950/2950129/2950129_XL.jpg?t=18047820559
[Prada] saffiano leather iPhone 12/12 Pro case,"10,000",Farfetch,https://www.farfetch.com/tw/shopping/men/prada-saffiano-leather-iphone-1212-pro-case-item-16435828.aspx?storeid=12113,https://img.feebee.com.tw/ip/200/N6yfQwPG8bwY671c1ZnEIeOTG392omYnB5SyaHfAY2M=/https://cdn-images.farfetch-contents.com/16/43/58/28/16435828_31729525_480.jpg
